:START_ID,:END_ID,relation,:TYPE
10107,40015,属于类型,属于类型
10107,40011,属于类型,属于类型
10107,40018,属于类型,属于类型
10108,40015,属于类型,属于类型
10109,40015,属于类型,属于类型
10109,40005,属于类型,属于类型
10110,40002,属于类型,属于类型
10110,40013,属于类型,属于类型
10110,40025,属于类型,属于类型
10111,40024,属于类型,属于类型
10111,40007,属于类型,属于类型
10111,40005,属于类型,属于类型
10111,40025,属于类型,属于类型
10112,40015,属于类型,属于类型
10113,40015,属于类型,属于类型
10113,40008,属于类型,属于类型
10113,40002,属于类型,属于类型
10114,40007,属于类型,属于类型
10114,40002,属于类型,属于类型
10114,40011,属于类型,属于类型
10114,40018,属于类型,属于类型
10115,40015,属于类型,属于类型
10115,40008,属于类型,属于类型
10115,40027,属于类型,属于类型
10115,40012,属于类型,属于类型
10116,40002,属于类型,属于类型
10116,40013,属于类型,属于类型
10116,40025,属于类型,属于类型
10117,40015,属于类型,属于类型
10117,40011,属于类型,属于类型
10117,40010,属于类型,属于类型
10118,40002,属于类型,属于类型
10118,40013,属于类型,属于类型
10118,40025,属于类型,属于类型
10119,40015,属于类型,属于类型
10119,40008,属于类型,属于类型
10120,40015,属于类型,属于类型
10120,40010,属于类型,属于类型
10121,40015,属于类型,属于类型
10121,40014,属于类型,属于类型
10122,40017,属于类型,属于类型
10123,40003,属于类型,属于类型
10123,40005,属于类型,属于类型
10124,40015,属于类型,属于类型
10124,40008,属于类型,属于类型
10125,40015,属于类型,属于类型
10125,40002,属于类型,属于类型
10125,40016,属于类型,属于类型
10126,40015,属于类型,属于类型
10126,40024,属于类型,属于类型
10126,40009,属于类型,属于类型
10126,40025,属于类型,属于类型
10127,40015,属于类型,属于类型
10127,40003,属于类型,属于类型
10127,40024,属于类型,属于类型
10128,40015,属于类型,属于类型
10128,40014,属于类型,属于类型
10129,40024,属于类型,属于类型
10129,40008,属于类型,属于类型
10129,40027,属于类型,属于类型
10129,40012,属于类型,属于类型
10130,40015,属于类型,属于类型
10130,40003,属于类型,属于类型
10130,40008,属于类型,属于类型
10131,40015,属于类型,属于类型
10132,40015,属于类型,属于类型
10132,40008,属于类型,属于类型
10133,40015,属于类型,属于类型
10134,40015,属于类型,属于类型
10134,40003,属于类型,属于类型
10135,40015,属于类型,属于类型
10135,40011,属于类型,属于类型
10135,40018,属于类型,属于类型
10136,40015,属于类型,属于类型
10136,40008,属于类型,属于类型
10136,40010,属于类型,属于类型
10137,40002,属于类型,属于类型
10137,40013,属于类型,属于类型
10137,40025,属于类型,属于类型
10138,40015,属于类型,属于类型
10138,40010,属于类型,属于类型
10138,40013,属于类型,属于类型
10139,40015,属于类型,属于类型
10139,40008,属于类型,属于类型
10140,40015,属于类型,属于类型
10140,40001,属于类型,属于类型
10140,40021,属于类型,属于类型
10140,40006,属于类型,属于类型
10140,40005,属于类型,属于类型
10141,40015,属于类型,属于类型
10141,40010,属于类型,属于类型
10142,40015,属于类型,属于类型
10142,40008,属于类型,属于类型
10142,40013,属于类型,属于类型
10143,40015,属于类型,属于类型
10143,40014,属于类型,属于类型
10143,40016,属于类型,属于类型
10144,40024,属于类型,属于类型
10144,40007,属于类型,属于类型
10145,40015,属于类型,属于类型
10145,40024,属于类型,属于类型
10145,40013,属于类型,属于类型
10145,40025,属于类型,属于类型
10146,40002,属于类型,属于类型
10146,40013,属于类型,属于类型
10146,40025,属于类型,属于类型
10147,40015,属于类型,属于类型
10147,40003,属于类型,属于类型
10147,40002,属于类型,属于类型
10147,40025,属于类型,属于类型
10148,40015,属于类型,属于类型
10148,40014,属于类型,属于类型
10148,40021,属于类型,属于类型
10148,40022,属于类型,属于类型
10149,40015,属于类型,属于类型
10149,40018,属于类型,属于类型
10149,40025,属于类型,属于类型
10150,40024,属于类型,属于类型
10150,40025,属于类型,属于类型
10151,40015,属于类型,属于类型
10151,40021,属于类型,属于类型
10152,40024,属于类型,属于类型
10152,40007,属于类型,属于类型
10152,40018,属于类型,属于类型
10152,40010,属于类型,属于类型
10153,40015,属于类型,属于类型
10153,40008,属于类型,属于类型
10154,40015,属于类型,属于类型
10154,40011,属于类型,属于类型
10154,40018,属于类型,属于类型
10155,40015,属于类型,属于类型
10155,40003,属于类型,属于类型
10155,40002,属于类型,属于类型
10156,40015,属于类型,属于类型
10156,40011,属于类型,属于类型
10156,40018,属于类型,属于类型
10157,40015,属于类型,属于类型
10158,40015,属于类型,属于类型
10158,40010,属于类型,属于类型
10159,40015,属于类型,属于类型
10159,40008,属于类型,属于类型
10159,40023,属于类型,属于类型
10160,40015,属于类型,属于类型
10161,40015,属于类型,属于类型
10161,40008,属于类型,属于类型
10162,40015,属于类型,属于类型
10162,40003,属于类型,属于类型
10163,40015,属于类型,属于类型
10163,40008,属于类型,属于类型
10163,40005,属于类型,属于类型
10163,40009,属于类型,属于类型
10164,40003,属于类型,属于类型
10164,40002,属于类型,属于类型
10164,40025,属于类型,属于类型
10165,40003,属于类型,属于类型
10165,40002,属于类型,属于类型
10165,40025,属于类型,属于类型
10166,40003,属于类型,属于类型
10166,40002,属于类型,属于类型
10166,40013,属于类型,属于类型
10166,40025,属于类型,属于类型
10167,40003,属于类型,属于类型
10167,40008,属于类型,属于类型
10167,40020,属于类型,属于类型
10168,40015,属于类型,属于类型
10168,40014,属于类型,属于类型
10169,40015,属于类型,属于类型
10169,40014,属于类型,属于类型
10170,40015,属于类型,属于类型
10170,40010,属于类型,属于类型
10171,40015,属于类型,属于类型
10171,40003,属于类型,属于类型
10171,40008,属于类型,属于类型
10172,40002,属于类型,属于类型
10172,40013,属于类型,属于类型
10173,40015,属于类型,属于类型
10173,40011,属于类型,属于类型
10173,40010,属于类型,属于类型
10173,40013,属于类型,属于类型
10174,40015,属于类型,属于类型
10174,40018,属于类型,属于类型
10175,40002,属于类型,属于类型
10175,40013,属于类型,属于类型
10175,40025,属于类型,属于类型
10176,40015,属于类型,属于类型
10176,40010,属于类型,属于类型
10177,40024,属于类型,属于类型
10177,40007,属于类型,属于类型
10178,40015,属于类型,属于类型
10178,40014,属于类型,属于类型
10179,40024,属于类型,属于类型
10179,40011,属于类型,属于类型
10179,40018,属于类型,属于类型
10180,40015,属于类型,属于类型
10180,40019,属于类型,属于类型
10180,40005,属于类型,属于类型
10181,40015,属于类型,属于类型
10181,40011,属于类型,属于类型
10181,40018,属于类型,属于类型
10181,40010,属于类型,属于类型
10182,40015,属于类型,属于类型
10182,40003,属于类型,属于类型
10182,40024,属于类型,属于类型
10182,40009,属于类型,属于类型
10183,40015,属于类型,属于类型
10183,40006,属于类型,属于类型
10183,40005,属于类型,属于类型
10184,40003,属于类型,属于类型
10184,40008,属于类型,属于类型
10184,40013,属于类型,属于类型
10184,40012,属于类型,属于类型
10185,40015,属于类型,属于类型
10185,40024,属于类型,属于类型
10185,40011,属于类型,属于类型
10185,40018,属于类型,属于类型
10186,40015,属于类型,属于类型
10186,40003,属于类型,属于类型
10186,40008,属于类型,属于类型
10187,40002,属于类型,属于类型
10187,40013,属于类型,属于类型
10187,40025,属于类型,属于类型
10188,40007,属于类型,属于类型
10188,40018,属于类型,属于类型
10188,40025,属于类型,属于类型
10189,40015,属于类型,属于类型
10189,40007,属于类型,属于类型
10189,40010,属于类型,属于类型
10190,40015,属于类型,属于类型
10190,40008,属于类型,属于类型
10191,40015,属于类型,属于类型
10191,40008,属于类型,属于类型
10191,40023,属于类型,属于类型
10191,40014,属于类型,属于类型
